stage_event_id,application_id,stage_name,stage_date,stage_status,drop_reason
172,56,Offer Made,2024-04-03,Accepted,
173,56,Joined,2024-04-05,Joined,
174,57,Resume Screening,2024-05-08,Rejected,Profile not relevant
175,58,Resume Screening,2024-08-28,Selected,
176,58,Technical Interview,2024-08-30,Selected,
177,58,Managerial Interview,2024-09-06,Selected,
178,58,HR Interview,2024-09-08,Selected,
179,58,Offer Made,2024-09-14,Accepted,
180,58,Joined,2024-09-16,Joined,
181,59,Resume Screening,2024-08-23,Selected,
182,59,Technical Interview,2024-08-26,Selected,
183,59,Managerial Interview,2024-08-29,Selected,
184,59,HR Interview,2024-09-03,Rejected,Location constraint
185,60,Resume Screening,2024-08-28,Rejected,Experience mismatch
186,61,Resume Screening,2024-04-16,Selected,
187,61,Technical Interview,2024-04-18,Rejected,Technical gap
188,62,Resume Screening,2024-08-30,Rejected,Skill mismatch
189,63,Resume Screening,2024-02-20,Selected,
190,63,Technical Interview,2024-02-26,Selected,
191,63,Managerial Interview,2024-03-03,Selected,
192,63,HR Interview,2024-03-09,Rejected,Notice period issue
193,64,Resume Screening,2024-08-14,Selected,
194,64,Technical Interview,2024-08-16,Selected,
195,64,Managerial Interview,2024-08-23,Selected,
196,64,HR Interview,2024-08-25,Selected,
197,64,Offer Made,2024-08-27,Declined,Location issue
198,65,Resume Screening,2024-02-21,Selected,
199,65,Technical Interview,2024-02-26,Rejected,Domain mismatch
200,66,Resume Screening,2024-10-15,Selected,
201,66,Technical Interview,2024-10-19,Selected,
202,66,Managerial Interview,2024-10-25,Selected,
203,66,HR Interview,2024-11-01,Selected,
204,66,Offer Made,2024-11-07,Accepted,
205,66,Joined,2024-11-09,Joined,
206,67,Resume Screening,2024-08-18,Selected,
207,67,Technical Interview,2024-08-21,Selected,
208,67,Managerial Interview,2024-08-26,Selected,
209,67,HR Interview,2024-09-01,Selected,
210,67,Offer Made,2024-09-06,Accepted,
211,67,Joined,2024-09-11,Joined,
212,68,Resume Screening,2024-12-30,Rejected,Profile not relevant
213,69,Resume Screening,2024-06-19,Rejected,Skill mismatch
214,70,Resume Screening,2024-08-27,Selected,
215,70,Technical Interview,2024-09-03,Rejected,Technical gap
216,71,Resume Screening,2024-11-01,Selected,
217,71,Technical Interview,2024-11-07,Selected,
218,71,Managerial Interview,2024-11-09,Selected,
219,71,HR Interview,2024-11-14,Selected,
220,71,Offer Made,2024-11-16,Declined,Location issue
221,72,Resume Screening,2024-06-04,Selected,
222,72,Technical Interview,2024-06-08,Rejected,Technical gap
223,73,Resume Screening,2024-08-11,Selected,
224,73,Technical Interview,2024-08-17,Selected,
225,73,Managerial Interview,2024-08-22,Rejected,Project mismatch
226,74,Resume Screening,2024-02-21,Rejected,Experience mismatch
227,75,Resume Screening,2024-04-21,Selected,
228,75,Technical Interview,2024-04-26,Selected,
229,75,Managerial Interview,2024-05-02,Rejected,Team fit issue
230,76,Resume Screening,2024-07-09,Rejected,Skill mismatch
231,77,Resume Screening,2024-04-04,Selected,
232,77,Technical Interview,2024-04-09,Selected,
233,77,Managerial Interview,2024-04-16,Selected,
234,77,HR Interview,2024-04-21,Selected,
235,77,Offer Made,2024-04-27,Accepted,
236,77,Joined,2024-04-30,Joined,
237,78,Resume Screening,2024-03-20,Selected,
238,78,Technical Interview,2024-03-24,Selected,
239,78,Managerial Interview,2024-03-31,Selected,
240,78,HR Interview,2024-04-06,Selected,
241,78,Offer Made,2024-04-12,Accepted,
242,78,Joined,2024-04-18,Joined,
243,79,Resume Screening,2024-10-06,Rejected,Experience mismatch
244,80,Resume Screening,2024-09-02,Selected,
245,80,Technical Interview,2024-09-07,Selected,
246,80,Managerial Interview,2024-09-14,Rejected,Team fit issue
247,81,Resume Screening,2024-04-04,Selected,
248,81,Technical Interview,2024-04-11,Rejected,Technical gap
249,82,Resume Screening,2024-09-03,Selected,
250,82,Technical Interview,2024-09-08,Selected,
251,82,Managerial Interview,2024-09-14,Selected,
252,82,HR Interview,2024-09-20,Selected,
253,82,Offer Made,2024-09-27,Accepted,
254,82,Joined,2024-09-29,Joined,
255,83,Resume Screening,2024-11-13,Rejected,Experience mismatch
256,84,Resume Screening,2024-07-08,Rejected,Experience mismatch
257,85,Resume Screening,2024-08-18,Selected,
258,85,Technical Interview,2024-08-22,Rejected,Low problem-solving
259,86,Resume Screening,2024-07-18,Selected,
260,86,Technical Interview,2024-07-21,Selected,
261,86,Managerial Interview,2024-07-26,Selected,
262,86,HR Interview,2024-07-28,Selected,
263,86,Offer Made,2024-07-30,Accepted,
264,86,Joined,2024-08-01,Joined,
265,87,Resume Screening,2024-08-07,Selected,
266,87,Technical Interview,2024-08-12,Selected,
267,87,Managerial Interview,2024-08-14,Rejected,Project mismatch
268,88,Resume Screening,2024-10-30,Selected,
269,88,Technical Interview,2024-11-05,Selected,
270,88,Managerial Interview,2024-11-07,Selected,
271,88,HR Interview,2024-11-11,Selected,
272,88,Offer Made,2024-11-14,Declined,Compensation issue
273,89,Resume Screening,2024-03-25,Selected,
274,89,Technical Interview,2024-03-29,Rejected,Technical gap
275,90,Resume Screening,2024-07-26,Selected,
276,90,Technical Interview,2024-07-30,Rejected,Domain mismatch
277,91,Resume Screening,2024-04-08,Selected,
278,91,Technical Interview,2024-04-11,Selected,
279,91,Managerial Interview,2024-04-13,Selected,
280,91,HR Interview,2024-04-18,Selected,
281,91,Offer Made,2024-04-20,Accepted,
282,91,Joined,2024-04-25,Joined,
283,92,Resume Screening,2025-01-15,Selected,
284,92,Technical Interview,2025-01-17,Selected,
285,92,Managerial Interview,2025-01-19,Selected,
286,92,HR Interview,2025-01-24,Rejected,Salary mismatch
287,93,Resume Screening,2024-09-26,Rejected,Experience mismatch
288,94,Resume Screening,2024-10-15,Selected,
289,94,Technical Interview,2024-10-20,Selected,
290,94,Managerial Interview,2024-10-26,Selected,
291,94,HR Interview,2024-10-29,Selected,
292,94,Offer Made,2024-11-02,Accepted,
293,94,Joined,2024-11-04,Joined,
294,95,Resume Screening,2024-02-06,Rejected,Profile not relevant
295,96,Resume Screening,2024-05-18,Rejected,Skill mismatch
296,97,Resume Screening,2024-07-20,Selected,
297,97,Technical Interview,2024-07-23,Selected,
298,97,Managerial Interview,2024-07-29,Selected,
299,97,HR Interview,2024-08-02,Selected,
300,97,Offer Made,2024-08-06,Accepted,
301,97,Joined,2024-08-08,Joined,
302,98,Resume Screening,2024-08-08,Selected,
303,98,Technical Interview,2024-08-15,Selected,
304,98,Managerial Interview,2024-08-21,Selected,
305,98,HR Interview,2024-08-28,Rejected,Location constraint
306,99,Resume Screening,2024-08-05,Rejected,Profile not relevant
307,100,Resume Screening,2024-05-30,Rejected,Experience mismatch
308,101,Resume Screening,2024-04-01,Rejected,Skill mismatch
309,102,Resume Screening,2024-08-23,Selected,
310,102,Technical Interview,2024-08-27,Selected,
311,102,Managerial Interview,2024-09-02,Selected,
312,102,HR Interview,2024-09-08,Selected,
313,102,Offer Made,2024-09-13,Accepted,
314,102,Joined,2024-09-16,Joined,
315,103,Resume Screening,2024-07-18,Selected,
316,103,Technical Interview,2024-07-22,Selected,
317,103,Managerial Interview,2024-07-29,Selected,
318,103,HR Interview,2024-07-31,Selected,
319,103,Offer Made,2024-08-04,Accepted,
320,103,Joined,2024-08-08,Joined,
321,104,Resume Screening,2024-09-27,Selected,
322,104,Technical Interview,2024-10-01,Selected,
323,104,Managerial Interview,2024-10-08,Selected,
324,104,HR Interview,2024-10-11,Selected,
325,104,Offer Made,2024-10-14,Accepted,
326,104,Joined,2024-10-18,Joined,
327,105,Resume Screening,2024-06-09,Selected,
328,105,Technical Interview,2024-06-15,Selected,
329,105,Managerial Interview,2024-06-17,Rejected,Team fit issue
330,106,Resume Screening,2024-10-31,Selected,
331,106,Technical Interview,2024-11-05,Rejected,Technical gap
332,107,Resume Screening,2024-07-08,Rejected,Experience mismatch
333,108,Resume Screening,2024-05-17,Rejected,Profile not relevant
334,109,Resume Screening,2024-04-16,Rejected,Skill mismatch
335,110,Resume Screening,2024-03-17,Selected,
336,110,Technical Interview,2024-03-19,Selected,
337,110,Managerial Interview,2024-03-25,Selected,
338,110,HR Interview,2024-03-31,Selected,
339,110,Offer Made,2024-04-07,Accepted,
340,110,Joined,2024-04-10,Joined,
341,111,Resume Screening,2024-04-13,Rejected,Skill mismatch
342,112,Resume Screening,2024-02-14,Rejected,Experience mismatch
343,113,Resume Screening,2024-10-28,Selected,
344,113,Technical Interview,2024-11-02,Rejected,Technical gap
345,114,Resume Screening,2024-08-11,Rejected,Profile not relevant
346,115,Resume Screening,2024-07-11,Selected,
347,115,Technical Interview,2024-07-18,Selected,
348,115,Managerial Interview,2024-07-24,Selected,
349,115,HR Interview,2024-07-31,Selected,
350,115,Offer Made,2024-08-04,Accepted,
351,115,Joined,2024-08-06,Joined,
352,116,Resume Screening,2024-08-04,Selected,
353,116,Technical Interview,2024-08-09,Selected,
354,116,Managerial Interview,2024-08-13,Selected,
355,116,HR Interview,2024-08-18,Selected,
356,116,Offer Made,2024-08-25,Accepted,
357,116,Joined,2024-08-29,Joined,
358,117,Resume Screening,2024-03-29,Rejected,Skill mismatch
359,118,Resume Screening,2024-08-22,Selected,
360,118,Technical Interview,2024-08-26,Selected,
361,118,Managerial Interview,2024-09-01,Selected,
362,118,HR Interview,2024-09-05,Selected,
363,118,Offer Made,2024-09-11,Accepted,
364,118,Joined,2024-09-15,Joined,
365,119,Resume Screening,2024-03-14,Selected,
366,119,Technical Interview,2024-03-21,Rejected,Technical gap
367,120,Resume Screening,2024-02-06,Rejected,Profile not relevant
368,121,Resume Screening,2024-08-28,Selected,
369,121,Technical Interview,2024-09-03,Rejected,Low problem-solving
370,122,Resume Screening,2024-02-12,Selected,
371,122,Technical Interview,2024-02-17,Selected,
372,122,Managerial Interview,2024-02-22,Selected,
373,122,HR Interview,2024-02-26,Selected,
374,122,Offer Made,2024-03-01,Accepted,
375,122,Joined,2024-03-03,Joined,
376,123,Resume Screening,2024-09-01,Selected,
377,123,Technical Interview,2024-09-06,Selected,
378,123,Managerial Interview,2024-09-11,Selected,
379,123,HR Interview,2024-09-18,Selected,
380,123,Offer Made,2024-09-22,Declined,Compensation issue
381,124,Resume Screening,2024-07-29,Rejected,Experience mismatch
382,125,Resume Screening,2024-11-30,Rejected,Experience mismatch
383,126,Resume Screening,2024-11-16,Rejected,Experience mismatch
384,127,Resume Screening,2024-11-11,Selected,
385,127,Technical Interview,2024-11-15,Selected,
386,127,Managerial Interview,2024-11-18,Selected,
387,127,HR Interview,2024-11-21,Selected,
388,127,Offer Made,2024-11-26,Declined,Compensation issue
389,128,Resume Screening,2024-06-02,Selected,
390,128,Technical Interview,2024-06-08,Selected,
391,128,Managerial Interview,2024-06-10,Selected,
392,128,HR Interview,2024-06-12,Rejected,Location constraint
393,129,Resume Screening,2024-07-16,Rejected,Experience mismatch
394,130,Resume Screening,2024-04-01,Selected,
395,130,Technical Interview,2024-04-08,Selected,
396,130,Managerial Interview,2024-04-15,Selected,
397,130,HR Interview,2024-04-20,Selected,
398,130,Offer Made,2024-04-23,Accepted,
399,130,Joined,2024-04-26,Joined,
400,131,Resume Screening,2024-04-12,Rejected,Skill mismatch
401,132,Resume Screening,2024-02-05,Selected,
402,132,Technical Interview,2024-02-12,Rejected,Technical gap
403,133,Resume Screening,2024-09-04,Selected,
404,133,Technical Interview,2024-09-06,Rejected,Low problem-solving
405,134,Resume Screening,2024-08-08,Selected,
406,134,Technical Interview,2024-08-12,Selected,
407,134,Managerial Interview,2024-08-19,Selected,
408,134,HR Interview,2024-08-23,Selected,
409,134,Offer Made,2024-08-26,Accepted,
410,134,Joined,2024-08-31,Joined,
411,135,Resume Screening,2024-09-04,Rejected,Profile not relevant
412,136,Resume Screening,2024-05-18,Selected,
413,136,Technical Interview,2024-05-23,Selected,
414,136,Managerial Interview,2024-05-30,Rejected,Project mismatch
415,137,Resume Screening,2024-09-07,Selected,
416,137,Technical Interview,2024-09-12,Selected,
417,137,Managerial Interview,2024-09-19,Selected,
418,137,HR Interview,2024-09-23,Selected,
419,137,Offer Made,2024-09-30,Accepted,
420,137,Joined,2024-10-03,Joined,
421,138,Resume Screening,2024-11-18,Selected,
422,138,Technical Interview,2024-11-23,Rejected,Low problem-solving
423,139,Resume Screening,2024-05-30,Selected,
424,139,Technical Interview,2024-06-01,Rejected,Technical gap
425,140,Resume Screening,2024-06-10,Selected,
426,140,Technical Interview,2024-06-14,Rejected,Low problem-solving
427,141,Resume Screening,2024-07-21,Selected,
428,141,Technical Interview,2024-07-28,Selected,
429,141,Managerial Interview,2024-07-30,Rejected,Project mismatch
430,142,Resume Screening,2024-11-06,Rejected,Experience mismatch
431,143,Resume Screening,2024-05-11,Selected,
432,143,Technical Interview,2024-05-17,Selected,
433,143,Managerial Interview,2024-05-24,Selected,
434,143,HR Interview,2024-05-29,Selected,
435,143,Offer Made,2024-06-01,Accepted,
436,143,Joined,2024-06-08,Joined,
437,144,Resume Screening,2024-07-13,Selected,
438,144,Technical Interview,2024-07-20,Selected,
439,144,Managerial Interview,2024-07-25,Selected,
440,144,HR Interview,2024-07-30,Selected,
441,144,Offer Made,2024-08-05,Declined,Location issue
442,145,Resume Screening,2024-03-04,Selected,
443,145,Technical Interview,2024-03-06,Selected,
444,145,Managerial Interview,2024-03-12,Selected,
445,145,HR Interview,2024-03-16,Selected,
446,145,Offer Made,2024-03-23,Declined,Compensation issue
447,146,Resume Screening,2024-07-07,Selected,
448,146,Technical Interview,2024-07-10,Selected,
449,146,Managerial Interview,2024-07-13,Selected,
450,146,HR Interview,2024-07-16,Selected,
451,146,Offer Made,2024-07-21,Accepted,
452,146,Joined,2024-07-25,Joined,
453,147,Resume Screening,2024-07-26,Selected,
454,147,Technical Interview,2024-07-31,Selected,
455,147,Managerial Interview,2024-08-07,Selected,
456,147,HR Interview,2024-08-10,Selected,
457,147,Offer Made,2024-08-12,Accepted,
458,147,Joined,2024-08-18,Joined,
459,148,Resume Screening,2024-10-09,Selected,
460,148,Technical Interview,2024-10-13,Selected,
461,148,Managerial Interview,2024-10-16,Selected,
462,148,HR Interview,2024-10-21,Selected,
463,148,Offer Made,2024-10-28,Accepted,
464,148,Joined,2024-11-01,Joined,
465,149,Resume Screening,2024-11-11,Selected,
466,149,Technical Interview,2024-11-17,Rejected,Technical gap
467,150,Resume Screening,2024-10-02,Selected,
468,150,Technical Interview,2024-10-07,Selected,
469,150,Managerial Interview,2024-10-14,Selected,
470,150,HR Interview,2024-10-17,Selected,
471,150,Offer Made,2024-10-22,Accepted,
472,150,Joined,2024-10-26,Joined,
473,151,Resume Screening,2024-12-28,Selected,
474,151,Technical Interview,2024-12-30,Rejected,Technical gap
475,152,Resume Screening,2024-05-09,Selected,
476,152,Technical Interview,2024-05-15,Selected,
477,152,Managerial Interview,2024-05-18,Selected,
478,152,HR Interview,2024-05-23,Selected,
479,152,Offer Made,2024-05-26,Accepted,
480,152,Joined,2024-05-28,Joined,
481,153,Resume Screening,2024-08-25,Selected,
482,153,Technical Interview,2024-09-01,Selected,
483,153,Managerial Interview,2024-09-04,Selected,
484,153,HR Interview,2024-09-08,Selected,
485,153,Offer Made,2024-09-12,Declined,Location issue
486,154,Resume Screening,2024-09-07,Selected,
487,154,Technical Interview,2024-09-11,Selected,
488,154,Managerial Interview,2024-09-15,Selected,
489,154,HR Interview,2024-09-18,Selected,
490,154,Offer Made,2024-09-23,Declined,Location issue
491,155,Resume Screening,2024-11-05,Selected,
492,155,Technical Interview,2024-11-11,Selected,
493,155,Managerial Interview,2024-11-17,Selected,
494,155,HR Interview,2024-11-22,Rejected,Location constraint
495,156,Resume Screening,2024-11-03,Selected,
496,156,Technical Interview,2024-11-07,Selected,
497,156,Managerial Interview,2024-11-12,Selected,
498,156,HR Interview,2024-11-14,Selected,
499,156,Offer Made,2024-11-17,Accepted,
500,156,Joined,2024-11-23,Joined,
501,157,Resume Screening,2024-02-26,Selected,
502,157,Technical Interview,2024-02-29,Selected,
503,157,Managerial Interview,2024-03-04,Rejected,Team fit issue
504,158,Resume Screening,2024-04-04,Rejected,Profile not relevant
505,159,Resume Screening,2024-05-17,Rejected,Experience mismatch
506,160,Resume Screening,2024-02-02,Selected,
507,160,Technical Interview,2024-02-09,Selected,
508,160,Managerial Interview,2024-02-16,Selected,
509,160,HR Interview,2024-02-20,Rejected,Notice period issue
510,161,Resume Screening,2024-11-16,Selected,
511,161,Technical Interview,2024-11-19,Selected,
512,161,Managerial Interview,2024-11-23,Selected,
513,161,HR Interview,2024-11-25,Selected,
514,161,Offer Made,2024-11-28,Accepted,
515,161,Joined,2024-12-01,Joined,
516,162,Resume Screening,2024-03-23,Rejected,Skill mismatch
517,163,Resume Screening,2024-05-20,Selected,
518,163,Technical Interview,2024-05-22,Selected,
519,163,Managerial Interview,2024-05-29,Selected,
520,163,HR Interview,2024-06-02,Selected,
521,163,Offer Made,2024-06-09,Accepted,
522,163,Joined,2024-06-14,Joined,
523,164,Resume Screening,2024-07-13,Selected,
524,164,Technical Interview,2024-07-19,Selected,
525,164,Managerial Interview,2024-07-23,Selected,
526,164,HR Interview,2024-07-28,Selected,
527,164,Offer Made,2024-07-31,Declined,Location issue
528,165,Resume Screening,2024-12-28,Selected,
529,165,Technical Interview,2024-12-31,Selected,
530,165,Managerial Interview,2025-01-06,Selected,
531,165,HR Interview,2025-01-09,Rejected,Location constraint
532,166,Resume Screening,2024-03-08,Rejected,Profile not relevant
533,167,Resume Screening,2024-05-14,Selected,
534,167,Technical Interview,2024-05-17,Selected,
535,167,Managerial Interview,2024-05-23,Selected,
536,167,HR Interview,2024-05-27,Selected,
537,167,Offer Made,2024-05-31,Accepted,
538,167,Joined,2024-06-05,Joined,
539,168,Resume Screening,2024-10-28,Selected,
540,168,Technical Interview,2024-11-02,Rejected,Low problem-solving
541,169,Resume Screening,2024-06-25,Rejected,Profile not relevant
542,170,Resume Screening,2024-06-18,Selected,
543,170,Technical Interview,2024-06-24,Rejected,Domain mismatch
544,171,Resume Screening,2024-03-10,Selected,
545,171,Technical Interview,2024-03-17,Selected,
546,171,Managerial Interview,2024-03-21,Selected,
547,171,HR Interview,2024-03-25,Selected,
548,171,Offer Made,2024-03-27,Accepted,
549,171,Joined,2024-04-03,Joined,
550,172,Resume Screening,2024-08-06,Selected,
551,172,Technical Interview,2024-08-12,Selected,
552,172,Managerial Interview,2024-08-14,Rejected,Team fit issue
553,173,Resume Screening,2024-05-26,Selected,
554,173,Technical Interview,2024-05-31,Selected,
555,173,Managerial Interview,2024-06-02,Selected,
556,173,HR Interview,2024-06-06,Selected,
557,173,Offer Made,2024-06-12,Declined,Location issue
558,174,Resume Screening,2024-12-30,Selected,
559,174,Technical Interview,2025-01-03,Selected,
560,174,Managerial Interview,2025-01-05,Selected,
561,174,HR Interview,2025-01-11,Selected,
562,174,Offer Made,2025-01-14,Accepted,
563,174,Joined,2025-01-19,Joined,
564,175,Resume Screening,2024-10-09,Selected,
565,175,Technical Interview,2024-10-15,Selected,
566,175,Managerial Interview,2024-10-17,Selected,
567,175,HR Interview,2024-10-23,Selected,
568,175,Offer Made,2024-10-29,Declined,Compensation issue
569,176,Resume Screening,2024-05-05,Selected,
570,176,Technical Interview,2024-05-10,Rejected,Technical gap
571,177,Resume Screening,2024-08-24,Rejected,Skill mismatch
572,178,Resume Screening,2025-01-08,Selected,
